name,milnovecientos,dosmilveinte,percentage,province,densidad
Alcorisa,3119,3298,-5.73,Teruel,121
Alfambra,1355,482,64.42,Teruel,122.44
Aliaga,1754,326,81.41,Teruel,193.08
Allepuz,1040,124,88.07,Teruel,67.26
Alloza,1773,572,67.73,Teruel,81
Allueva,216,24,88.88,Teruel,18.65
Almohaja,243,14,94.23,Teruel,25.55
Alobras,546,64,88.27,Teruel,30.72
Alpeñés,224,21,90.62,Teruel,28.62
Anadón,355,32,90.98,Teruel,24.62
Andorra,2704,7345,-171.63,Teruel,141.36
Arcos de las Salinas,1353,118,91.27,Teruel,112.99
Arens de Lledó,759,205,72.99,Teruel,34.27
Argente,716,193,73.04,Teruel,62.58
Ariño,1366,714,47.73,Teruel,81.93
Azaila,742,93,87.46,Teruel,81.44
Barrachina,697,109,84.36,Teruel,24.86
Bañón,693,146,78.93,Teruel,54.27
Bea,170,29,82.94,Teruel,23.37
Beceite,2252,531,76.42,Teruel,96.72
Bello,989,219,77.85,Teruel,52.49
Belmonte de San José,817,123,84.94,Teruel,43.68
Berge,816,241,70.46,Teruel,42.64
Bezas,357,67,81.23,Teruel,26.32
Blancas,859,125,85.44,Teruel,73
Blesa,1325,92,93.05,Teruel,80.39
Bordón,586,105,82.08,Teruel,29.98
Bronchales,950,417,56.10,Teruel,59
Bueña,352,49,86.07,Teruel,40.75
Burbáguena,1350,211,84.37,Teruel,39.02
Bádenas,454,19,95.81,Teruel,31.31
Báguena,1420,285,79.92,Teruel,25.17
Cabra de Mora,563,51,90.94,Teruel,34.31
Calaceite,2579,978,62.07,Teruel,81.33
Calamocha,6017,4429,26.39,Teruel,316.63
Calanda,3924,3822,2.59,Teruel,112.25
Calomarde,422,74,82.46,Teruel,28.18
Camarena de la Sierra,882,107,87.86,Teruel,79.54
Camarillas,816,92,88.72,Teruel,50.55
Camañas,450,133,70.44,Teruel,78.67
Caminreal,1349,615,54.41,Teruel,44.39
Cantavieja,1962,729,62.84,Teruel,124.56
Cascante del Río,574,67,88.32,Teruel,32.38
Castejón de Tornos,475,55,88.42,Teruel,17.56
Castel de Cabra,623,93,85.07,Teruel,29.44
Castellote,5122,676,86.80,Teruel,235.18
Castelnou,680,134,80.29,Teruel,37.09
Castelserás,2177,800,63.25,Teruel,31.52
Cañada Vellida,201,36,82.08,Teruel,23
Cañada de Benatanduz,642,33,94.85,Teruel,34.89
Cañizar del Olivar,507,100,80.27,Teruel,22.29
Cedrillas,957,639,33.22,Teruel,73.57
Celadas,876,367,58.10,Teruel,100.45
Cella,2567,2571,-.15,Teruel,124.68
Corbalán,484,109,77.47,Teruel,82.44
Cortes de Aragón,492,60,87.80,Teruel,24.43
Cosa,385,51,86.75,Teruel,54.81
Cretas,1562,554,64.53,Teruel,52.66
Crivillén,937,86,90.82,Teruel,42.03
Cubla,363,55,84.84,Teruel,48.63
Cucalón,525,78,85.14,Teruel,31.93
Cuevas Labradas,401,137,65.83,Teruel,40.81
Cuevas de Almudén,243,118,51.44,Teruel,35.85
Ejulve,1291,177,86.28,Teruel,109.49
El Castellar,489,55,88.75,Teruel,50.33
El Cuervo,576,80,86.11,Teruel,20.76
El Pobo,497,108,78.26,Teruel,63
El Vallecillo,467,44,90.57,Teruel,21.59
Escorihuela,493,136,72.41,Teruel,56.99
Escucha,707,801,-13.29,Teruel,41.57
Estercuel,964,205,78.73,Teruel,55.59
Ferreruela de Huerva,262,64,75.57,Teruel,20.44
Fonfría,205,26,87.31,Teruel,20.58
Formiche Alto,1029,148,85.61,Teruel,78.17
Fortanete,1570,202,87.13,Teruel,168.21
Foz-Calanda,786,258,67.17,Teruel,37.87
Frías de Albarracín,665,104,84.36,Teruel,50.79
Fuenferrada,402,36,91.04,Teruel,24.53
Fuentes Calientes,243,91,62.55,Teruel,25.01
Fuentes Claras,1123,445,60.37,Teruel,36.91
