name,1900,2020,percentage,province,densidad
Monterde de Albarracín,488,56,88.52,Teruel,45.21
Mora de Rubielos,3213,1512,52.94,Teruel,166.23
Moscardón,494,55,88.86,Teruel,26.93
Mosqueruela,3103,532,82.85,Teruel,265.03
Muniesa,1860,583,68.65,Teruel,129
Noguera de Albarracín,489,139,71.57,Teruel,47.44
Nogueras,359,21,94.15,Teruel,18.85
Nogueruelas,1156,210,81.83,Teruel,99.49
Obón,1257,34,97.29,Teruel,68.38
Odón,974,203,79.15,Teruel,74.24
Ojos Negros,1436,341,76.25,Teruel,90.92
Olba,1802,233,87.06,Teruel,20.99
Oliete,2146,343,84.01,Teruel,85.48
Orihuela del Tremedal,945,450,52.38,Teruel,71.52
Orrios,430,128,70.23,Teruel,35
Palomar de Arroyos,612,170,72.22,Teruel,33.62
Pancrudo,1000,119,88.10,Teruel,100.12
Peracense,385,77,80.00,Teruel,28.66
Peralejos,286,83,70.97,Teruel,36
Perales del Alfambra,817,236,71.11,Teruel,104.24
Peñarroya de Tastavins,1702,446,73.79,Teruel,83.28
Pitarque,938,68,92.75,Teruel,54.35
Plou,529,50,90.54,Teruel,17.21
Pozondón,539,43,92.02,Teruel,67.64
Pozuel del Campo,598,63,89.46,Teruel,27.85
Puertomingalvo,1271,117,90.79,Teruel,103.62
Rillo,502,85,83.06,Teruel,53.31
Riodeva,716,134,81.28,Teruel,34.34
Royuela,459,210,54.24,Teruel,32
Rubiales,290,49,83.10,Teruel,27.42
Rubielos de Mora,2284,635,72.19,Teruel,66
Rubielos de la Cérida,501,39,92.21,Teruel,66
Ráfales,859,139,83.81,Teruel,35.61
Ródenas,415,62,85.06,Teruel,44.26
Salcedillo,155,11,92.90,Teruel,16.89
Saldón,435,24,94.48,Teruel,28.37
Samper de Calanda,2647,721,72.76,Teruel,142
San Agustín,1204,123,89.78,Teruel,56.57
San Martín del Río,1330,132,90.07,Teruel,5.42
Santa Cruz de Nogueras,346,30,91.32,Teruel,19.51
Santa Eulalia,1164,1050,9.79,Teruel,80.97
Sarrión,2233,1148,48.58,Teruel,140.44
Segura de los Baños,795,41,94.84,Teruel,54.15
Seno,453,39,91.39,Teruel,17.85
Singra,399,83,79.19,Teruel,36.72
Terriente,1109,180,83.76,Teruel,47.98
Teruel,12745,36240,-184.34,Teruel,440.41
Toril y Masegoso,366,33,90.98,Teruel,30.67
Tormón,303,25,91.74,Teruel,29.34
Tornos,578,202,65.05,Teruel,48.95
Torralba de los Sisones,608,157,74.17,Teruel,40.39
Torre de Arcas,485,94,80.61,Teruel,34.28
Torre de las Arcas,545,29,94.67,Teruel,37.17
Torre del Compte,748,117,84.35,Teruel,19.46
Torre los Negros,456,83,81.79,Teruel,29.15
Torrecilla de Alcañiz,1105,439,60.27,Teruel,26.76
Torrecilla del Rebollar,891,123,86.19,Teruel,26.76
Torrelacárcel,521,143,72.55,Teruel,35.54
Torremocha de Jiloca,420,107,74.52,Teruel,33.94
Torres de Albarracín,591,185,68.69,Teruel,28.31
Torrevelilla,776,170,78.09,Teruel,33.44
Torrijas,689,43,93.75,Teruel,57.34
Torrijo del Campo,1308,447,65.82,Teruel,44.04
Tramacastiel,668,67,89.97,Teruel,47.29
Tramacastilla,455,104,77.14,Teruel,24.81
Tronchón,997,68,93.17,Teruel,57.11
Urrea de Gaén,1195,427,64.26,Teruel,41.12
Utrillas,712,3006,-322.19,Teruel,39.82
Valacloche,219,20,90.86,Teruel,15.02
Valbona,675,172,74.51,Teruel,40.72
Valdealgorfa,1665,595,64.26,Teruel,46.93
Valdecuenca,320,32,90.00,Teruel,18.64
Valdelinares,825,92,88.84,Teruel,55.09
Valdeltormo,699,281,59.79,Teruel,16
Valderrobres,3058,2435,20.37,Teruel,124.04
Valjunquera,1225,338,72.40,Teruel,41.84
Veguillas de la Sierra,292,21,92.80,Teruel,13.67
Villafranca del Campo,988,285,71.15,Teruel,63.64
Villahermosa del Campo,236,83,64.83,Teruel,19
Villanueva del Rebollar de la Sierra,309,42,86.40,Teruel,75.99
Villar del Cobo,596,160,73.15,Teruel,54.13
Villar del Salz,412,61,85.19,Teruel,38.69
Villarluengo,2128,171,91.96,Teruel,157.89
Villarquemado,872,841,3.55,Teruel,56.43
Villarroya de los Pinares,1095,161,85.29,Teruel,91
Villastar,737,507,31.20,Teruel,39.05
Villel,1182,333,71.82,Teruel,85.38
Vinaceite,544,231,57.53,Teruel,50.07
Visiedo,656,131,80.03,Teruel,55.53
Vivel del Río Martín,946,72,92.38,Teruel,51.16
