1910,2018,municipio,cp,densidad,foto
531,61,Cortes de Aragón,44084,2.49,CortesdeAragon
415,52,Cosa,44085,0.94,Cosa
997,68,Crivillén,44087,1.61,Crivillen
396,41,La Cuba,44088,6.29,LaCuba
309,54,Cubla,44089,1.11,Cubla
523,80,Cucalón,44090,2.5,Cucalon
481,86,El Cuervo,44092,4.14,ElCuervo
233,122,Cuevas de AlmudÃ©n,44093,3.4,CuevasdeAlmuden
401,131,Cuevas Labradas,44094,3.2,CuevasLabradas
1413,180,Ejulve,44096,1.64,Ejulve
546,139,Escorihuela,44097,2.43,Escorihuela
1256,210,Estercuel,44100,3.77,Estercuel
293,63,Ferreruela de Huerva,44101,3.08,FerrerueladeHuerva
189,28,Fonfría,44102,1.36,Fonfria
942,151,Formiche Alto,44103,1.93,FormicheAlto
753,75,Fórnoles,44105,2.3,Fornoles
1406,205,Fortanete,44106,1.21,Fortanete
764,238,Foz-Calanda,44107,6.28,Foz-Calanda
696,116,Frías de Albarrací­n,44109,2.28,FriasdeAlbarraci­n
407,42,Fuenferrada,44110,1.71,Fuenferrada
253,101,Fuentes Calientes,44111,4.03,FuentesCalientes
882,114,Fuentes de Rubielos,44113,2.92,FuentesdeRubielos
938,286,Fuentespalda,44114,7.33,Fuentespalda
450,161,Galve,44115,2.62,Galve
609,89,Gargallo,44116,2.95,Gargallo
1110,376,Gea de Albarracín,44117,6.59,GeadeAlbarracin
1152,200,La Ginebrosa,44118,2.5,LaGinebrosa
429,143,Griegos,44119,4.5,Griegos
562,242,Guadalaviar,44120,8.61,Guadalaviar
689,72,Gúdar,44121,1.18,Gudar
521,119,Hinojosa de Jarque,44123,3.26,HinojosadeJarque
975,85,La Hoz de La Vieja,44124,1.94,LaHozdeLaVieja
1432,67,Huesa del Común,44125,1.08,HuesadelComun
959,65,Jabaloyas,44127,1.05,Jabaloyas
290,70,Jarque de La Val,44128,2.39,JarquedeLaVal
252,40,Jatiel,44129,3.69,Jatiel
429,34,Jorcas,44130,1.3,Jorcas
646,34,Josa,44131,1.2,Josa
294,78,Lagueruela,44132,2.96,Lagueruela
224,24,Lanzuela,44133,1.68,Lanzuela
755,101,Libros,44135,2.66,Libros
316,55,Lidón,44136,1.37,Lidon
1679,249,Linares de Mora,44137,2.14,LinaresdeMora
1522,129,Loscos,44138,1.79,Loscos
440,27,Maicas,44142,1.09,Maicas
2985,519,Manzanera,44143,3.07,Manzanera
825,417,Martín del Río,44144,7.59,MartindelRio
1443,539,Mazaleón,44147,6.24,Mazaleon
319,98,Mezquita de Jarque,44148,3.14,MezquitadeJarque
851,116,Mirambel,44149,2.55,Mirambel
496,35,Miravete de La Sierra,44150,0.95,MiravetedeLaSierra
1410,243,Molinos,44151,3.05,Molinos
745,65,Monforte de Moyuela,44152,1.36,MonfortedeMoyuela
1311,340,Monroyo,44154,4.29,Monroyo
476,50,Monteagudo del Castillo,44156,1.12,MonteagudodelCastillo
505,63,Monterde de Albarracín,44157,1.39,MonterdedeAlbarracin
3101,1541,Mora de Rubielos,44158,9.27,MoradeRubielos
